province,country,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio
Ciudad de Mexico,Mexico,116943.0,11545.0,98840.0,6558.0,1296.680377152,9.872330964657996
Coahuila,Mexico,24766.0,1723.0,22020.0,1023.0,769.4362976586966,6.95711863038036
Colima,Mexico,4380.0,518.0,3567.0,295.0,557.8530553917517,11.826484018264841
Durango,Mexico,8098.0,559.0,6859.0,680.0,433.2807560850853,6.90293899728328
Guanajuato,Mexico,38340.0,2709.0,33126.0,2505.0,615.5896390194561,7.065727699530516
Guerrero,Mexico,17335.0,1811.0,14318.0,1206.0,474.0162010452145,10.447072396884916
Hidalgo,Mexico,11930.0,1853.0,9478.0,599.0,386.53272049699103,15.532271584241409
Jalisco,Mexico,24400.0,2974.0,19623.0,1803.0,290.1413880387786,12.188524590163935
Mexico,Mexico,76784.0,8936.0,64292.0,3556.0,440.58368846537627,11.637841216920192
Michoacan,Mexico,18684.0,1480.0,15891.0,1313.0,387.2009808096778,7.921216013701563
Morelos,Mexico,5699.0,1054.0,4449.0,196.0,278.80813558128,18.494472714511318
Nayarit,Mexico,5642.0,695.0,4662.0,285.0,437.84936957296105,12.318326834455867
Nuevo Leon,Mexico,35910.0,2820.0,30263.0,2827.0,640.0894948854336,7.852965747702589
Oaxaca,Mexico,15374.0,1356.0,13292.0,726.0,371.0306490043787,8.820085859242878
Puebla,Mexico,29938.0,3916.0,25066.0,956.0,453.3003575921753,13.080366089919165
Queretaro,Mexico,8152.0,917.0,6702.0,533.0,357.60079345966034,11.248773307163887
Quintana Roo,Mexico,11290.0,1573.0,9361.0,356.0,655.1539843981665,13.932683790965456
San Luis Potosi,Mexico,21524.0,1531.0,19097.0,896.0,750.974655128741,7.112990150529641
Sinaloa,Mexico,17772.0,3031.0,14186.0,555.0,562.997636119536,17.054917848300697
Sonora,Mexico,23749.0,2827.0,20240.0,682.0,772.3892550439142,11.90365910143585
Tabasco,Mexico,30753.0,2745.0,27115.0,893.0,1195.5508852628031,8.925958443078724
Tamaulipas,Mexico,27645.0,2059.0,24678.0,908.0,757.2723622021792,7.448001446916259
Tlaxcala,Mexico,7165.0,1002.0,5994.0,169.0,519.1987600098839,13.984647592463364
Veracruz,Mexico,31680.0,4046.0,26543.0,1091.0,370.9661818891218,12.771464646464647
Yucatan,Mexico,17222.0,1506.0,14630.0,1086.0,762.3396594570047,8.74462896295436
Zacatecas,Mexico,6748.0,630.0,5518.0,600.0,404.9384731155178,9.336099585062241
,Moldova,46336.0,1201.0,34236.0,10899.0,1148.647124428261,2.5919371546961325
,Monaco,192.0,1.0,152.0,39.0,489.24676383650996,0.5208333333333333
,Mongolia,312.0,0.0,302.0,10.0,9.517151004242454,0.0
,Montenegro,7898.0,134.0,5129.0,2635.0,1257.5191621209372,1.6966320587490504
,Morocco,99816.0,1795.0,79008.0,19013.0,270.4266892957836,1.7983088883545724
,Mozambique,6537.0,41.0,3620.0,2876.0,20.914762504505216,0.6271990209576258
,Namibia,10292.0,111.0,7969.0,2212.0,405.05077696389816,1.0785075787019043
,Nepal,62797.0,401.0,45267.0,17129.0,215.5246381140996,0.6385655365702183
Aruba,Netherlands,3460.0,23.0,2128.0,1309.0,3240.7320682614313,0.6647398843930636
"Bonaire, Sint Eustatius and Saba",Netherlands,36.0,1.0,17.0,18.0,137.294534914763,2.7777777777777777
Curacao,Netherlands,247.0,1.0,88.0,158.0,150.51797684338817,0.4048582995951417
Drenthe,Netherlands,722.0,41.0,0.0,681.0,146.2479895965419,5.678670360110803
Flevoland,Netherlands,1762.0,97.0,0.0,1665.0,416.52778467262857,5.50510783200908
Friesland,Netherlands,1011.0,69.0,0.0,942.0,155.54875168665004,6.824925816023739
